"world_rank","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","id"
1,95.6,64,97.6,99.8,97.8,95.2,2243,6.9,0.27,0.49,1
2,86.5,94.4,98.9,98.8,73.1,94.2,19919,11.6,0.34,0.85,2
3,92.5,76.3,96.2,99.9,63.3,93.9,15596,7.8,0.22,0.72,3
4,88.2,91.5,96.7,97,55,92.8,18812,11.8,0.34,0.85,4
5,89.4,84,88.6,99.7,95.4,92,11074,9,0.33,0.59,5
6,83.6,77.2,99,99.8,45.2,91.6,20152,8.9,0.25,1.07,6
7,85.1,78.5,91.9,99.3,52.1,90.1,7929,8.4,0.27,0.82,7
8,83.3,96,88.5,96.7,53.7,89.1,15060,11.7,0.51,0.59,8
9,77,97.9,95,91.1,80,88.3,18178,14.7,0.37,0.45,9
10,85.7,65,88.9,99.2,36.6,87.9,14221,6.9,0.21,0.72,10
11,77.6,70,90.4,98.2,100,87.6,15128,3.6,0.23,1,11
12,86.5,64.3,87.8,97.2,43.3,87.4,11751,4.4,0.2,1,12
13,80.4,61.9,91.1,99.7,47.9,87.2,36186,16.4,0.15,1,13
14,78.1,94.4,91,94.2,40.5,87.1,26607,10.7,0.46,1.27,14
15,85.9,73.5,82.2,98.1,48.9,86.1,25055,5.9,0.28,1.07,15
16,80.8,56.4,88.6,98.5,47.9,85.8,38206,10.3,0.15,1.08,16
17,82,49.5,86.9,98.6,47.9,85.2,20376,6.5,0.2,1.04,17
18,77.9,63.9,86.1,97.2,33.7,84,21424,10.2,0.19,0.92,18
19,75.9,77.8,89.3,90.9,49.1,83.9,66198,19.5,0.15,1.07,19
20,76,56.5,78,99,100,82.7,15172,4.8,0.17,0.96,20
21,76.8,53.7,85.2,94.4,56.3,82.4,41786,9,0.16,0.92,21
22,67.4,57.1,88.8,99.1,57.5,82.3,11885,13.1,0.35,0.64,22
23,69.8,93.6,80.6,94.3,32.2,81.3,23044,14.95,0.18,1.07,23
24,68.6,89.8,77.2,96.3,36.1,80.3,25774,14.1,0.36,1.38,24
25,69.8,53.9,78.4,96.5,81.2,79.5,18334,13.8,0.15,0.92,25
26,71.7,96.2,84.5,79.4,49.8,79.2,31592,15.5,0.34,0.96,26
27,64.5,93.8,75.8,93.8,40.1,78.2,21394,11.4,0.37,1.56,27
28,60.6,73.1,81.1,92.2,75.8,77.5,7774,11.5,0.22,2.33,28
29,70.5,62.8,77.4,85.7,100,77.3,35691,15.5,0.13,1.63,29
30,74.7,49.3,72.3,95.3,30.4,77.2,42056,6.8,0.19,1.22,30
31,61.3,98.6,67.5,94.6,65.4,76.1,9666,10.5,0.54,0.37,31
32,67.1,51.2,70,98.6,43.1,75.6,44020,11.8,0.13,1.13,32
33,62,87.1,75.5,86.6,64.6,75.4,40128,23.7,0.35,1.22,33
34,60.2,90.5,73.2,91.5,42.6,75.3,50152,17.6,0.25,1.17,34
35,59.9,68.6,76.9,87.3,100,74.8,42503,41.9,0.18,1.17,35
36,64.5,45.8,81.2,86.8,52.8,74.5,42727,18.7,0.2,0.89,36
